,Quarter,Tm,Detail,PIT,SEA
0,1.0,Steelers,Franco Harris 6 yard rush (David Trout kick),7,0
1,1.0,Seahawks,Efren Herrera 37 yard field goal,7,3
2,2.0,Steelers,Mark Malone 90 yard pass from Terry Bradshaw (David Trout kick),14,3
3,2.0,Steelers,Sidney Thornton 4 yard rush (David Trout kick),21,3
4,2.0,Seahawks,Dan Doornink 44 yard pass from Jim Zorn (Efren Herrera kick),21,10
5,4.0,Seahawks,Theotis Brown 1 yard rush (Efren Herrera kick),21,17
6,4.0,Seahawks,Theotis Brown 1 yard rush (Efren Herrera kick),21,24
