,Quarter,Time,Tm,Detail,BUF,DEN
0,1.0,10:32,Broncos,Jay Cutler 2 yard rush (Matt Prater kick),0,7
1,1.0,4:57,Broncos,Matt Prater 23 yard field goal,0,10
2,2.0,13:12,Broncos,Matt Prater 30 yard field goal,0,13
3,2.0,7:43,Bills,Rian Lindell 37 yard field goal,3,13
4,2.0,0:15,Bills,Marshawn Lynch 2 yard rush (Rian Lindell kick),10,13
5,3.0,9:52,Bills,Rian Lindell 49 yard field goal,13,13
6,3.0,4:58,Bills,Rian Lindell 28 yard field goal,16,13
7,3.0,0:38,Broncos,Jay Cutler 6 yard rush (Matt Prater kick),16,20
8,4.0,12:47,Bills,Steve Johnson 3 yard pass from Trent Edwards (Rian Lindell kick),23,20
9,4.0,11:03,Broncos,Matt Prater 43 yard field goal,23,23
10,4.0,8:54,Bills,Fred Jackson 8 yard rush (Rian Lindell kick),30,23
