,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Eddie Murray 45 yard field goal,0,3
1,2.0,Lions,Richard Johnson 17 yard pass from Rodney Peete (Eddie Murray kick),0,10
2,2.0,Lions,Richard Johnson 8 yard pass from Rodney Peete (Eddie Murray kick),0,17
3,2.0,Packers,Chris Jacke 34 yard field goal,3,17
4,2.0,Lions,Jerry Holmes 23 yard interception return (Eddie Murray kick),3,24
5,3.0,Packers,Michael Haddix 6 yard pass from Don Majkowski (Chris Jacke kick),10,24
6,3.0,Packers,Vince Workman 1 yard rush (Chris Jacke kick),17,24
7,4.0,Packers,Chris Jacke 40 yard field goal,20,24
8,4.0,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),20,31
9,4.0,Packers,"Safety, Peete ran out of end zone",22,31
