,Quarter,Tm,Detail,CHI,BAL
0,1.0,Colts,Lenny Moore 28 yard rush (Steve Myhra kick),0,7
1,1.0,Colts,Raymond Berry 12 yard pass from Johnny Unitas (Steve Myhra kick),0,14
2,1.0,Colts,Lenny Moore 9 yard rush,0,20
3,1.0,Bears,George Blanda 40 yard field goal,3,20
4,1.0,Colts,Lenny Moore 77 yard pass from Johnny Unitas (Steve Myhra kick),3,27
5,2.0,Bears,Bill McColl 11 yard pass from Ed Brown (George Blanda kick),10,27
6,2.0,Colts,Lenny Lyles 103 yard kickoff return (Steve Myhra kick),10,34
7,3.0,Bears,Johnny Morris 5 yard rush (George Blanda kick),17,34
8,3.0,Bears,Ed Brown 1 yard rush (George Blanda kick),24,34
9,3.0,Colts,Jim Mutscheller 2 yard pass from Johnny Unitas (Steve Myhra kick),24,41
10,3.0,Bears,Willie Galimore 99 yard kickoff return (George Blanda kick),31,41
11,4.0,Colts,Lenny Moore 33 yard pass from Johnny Unitas (Steve Myhra kick),31,48
12,4.0,Colts,Steve Myhra 28 yard field goal,31,51
13,4.0,Bears,Bill McColl 20 yard pass from Zeke Bratkowski (George Blanda kick),38,51
