,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,6:41,Giants,Morten Andersen 50 yard field goal,0,3
1,1.0,3:28,Redskins,Brett Conway 35 yard field goal,3,3
2,2.0,14:09,Giants,Morten Andersen 26 yard field goal,3,6
3,2.0,11:25,Redskins,Brett Conway 55 yard field goal,6,6
4,2.0,0:40,Giants,Morten Andersen 22 yard field goal,6,9
5,3.0,3:29,Redskins,Brett Conway 41 yard field goal,9,9
6,4.0,12:59,Giants,Dan Campbell 1 yard pass from Kerry Collins (Morten Andersen kick),9,16
7,4.0,2:57,Giants,Jason Sehorn 34 yard interception return (Morten Andersen kick),9,23
