,Quarter,Tm,Detail,SDG,RAI
0,1.0,Chargers,Rick Neuheisel 8 yard rush (Jeff Gaffney kick),7,0
1,2.0,Raiders,Carl Aikens 7 yard pass from Vince Evans (Chris Bahr kick),7,7
2,2.0,Raiders,Carl Aikens 32 yard pass from Vince Evans (Chris Bahr kick),7,14
3,4.0,Chargers,Jeff Gaffney 21 yard field goal,10,14
4,4.0,Raiders,Chris Bahr 33 yard field goal,10,17
5,4.0,Chargers,Al Williams 7 yard pass from Mike Kelley (Jeff Gaffney kick),17,17
6,4.0,Chargers,Elvis Patterson 75 yard interception return,23,17
