,Quarter,Tm,Detail,KAN,CLE
0,1.0,Cowboys,Phil White 80 yard interception return,6,0
1,2.0,Bulldogs,Dave Noble 20 yard rush (Doc Elliott kick),6,7
2,3.0,Bulldogs,Doc Elliott 25 yard field goal,6,10
3,4.0,Bulldogs,Doc Elliott 5 yard rush,6,16
4,4.0,Cowboys,Cowboy Hill unknown yard rush,13,16
