,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Don Woods 1 yard rush (Rolf Benirschke kick),0,7
1,2.0,Chargers,Hank Bauer 14 yard pass from Dan Fouts (Rolf Benirschke kick),0,14
2,3.0,Chargers,Rolf Benirschke 28 yard field goal,0,17
3,4.0,Chargers,Rolf Benirschke 20 yard field goal,0,20
4,4.0,Chargers,Rolf Benirschke 24 yard field goal,0,23
