,Quarter,Tm,Detail,GNB,BUF
0,1,Bills,Robb Riddick 2 yard rush (Scott Norwood kick),0,7
1,2,Bills,Butch Rolle 1 yard pass from Jim Kelly (Scott Norwood kick),0,14
2,3,Bills,Mark Kelso 78 yard interception return (Scott Norwood kick),0,21
3,4,Bills,Leon Seals 7 yard defensive fumble return (Scott Norwood kick),0,28
