,Quarter,Time,Tm,Detail,CHI,JAX
0,1.0,4:23,Bears,Robbie Gould 32 yard field goal,3,0
1,2.0,14:02,Jaguars,Josh Scobee 31 yard field goal,3,3
2,3.0,5:42,Bears,Robbie Gould 31 yard field goal,6,3
3,3.0,5:04,Bears,Charles Tillman 36 yard interception return (Robbie Gould kick),13,3
4,4.0,14:55,Bears,Alshon Jeffery 10 yard pass from Jay Cutler (Robbie Gould kick),20,3
5,4.0,8:37,Bears,Brandon Marshall 24 yard pass from Jay Cutler (Robbie Gould kick),27,3
6,4.0,7:54,Bears,Lance Briggs 36 yard interception return (Robbie Gould kick),34,3
7,4.0,1:49,Bears,Armando Allen 46 yard rush (Robbie Gould kick),41,3
