,Quarter,Time,Tm,Detail,GNB,BUF
0,1.0,,Bills,Thurman Thomas 5 yard rush (Steve Christie kick),0,7
1,1.0,,Bills,Andre Reed 15 yard pass from Jim Kelly (Steve Christie kick),0,14
2,2.0,,Bills,Steve Christie 38 yard field goal,0,17
3,2.0,,Bills,Andre Reed 10 yard pass from Jim Kelly (Steve Christie kick),0,24
4,2.0,,Packers,Sterling Sharpe 29 yard pass from Brett Favre,6,24
5,2.0,,Bills,Steve Christie 51 yard field goal,6,27
6,3.0,,Packers,Edgar Bennett 5 yard pass from Brett Favre (Chris Jacke kick),13,27
7,3.0,,Packers,Sterling Sharpe 26 yard pass from Brett Favre (Chris Jacke kick),20,27
8,4.0,,Bills,"Safety, Sims penalized for holding in end zone",20,29
