,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Ken O'Neal 1 yard pass from John Fourcade (Mike Cofer kick),0,7
1,2.0,Saints,Reggie Sutton 13 yard blocked punt return,0,13
2,2.0,Saints,Eric Martin 11 yard pass from John Fourcade (Mike Cofer kick),0,20
3,2.0,Saints,Vincent Alexander 1 yard rush (Mike Cofer kick),0,27
4,3.0,Rams,Mike Lansford 37 yard field goal,3,27
5,3.0,Saints,Mike Cofer 27 yard field goal,3,30
6,4.0,Saints,Mike Waters 82 yard pass from John Fourcade (Mike Cofer kick),3,37
7,4.0,Rams,Stacey Mobley 40 yard pass from Bernard Quarles (Mike Lansford kick),10,37
