,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,Norm Johnson 34 yard field goal,0,3
1,2.0,Seahawks,Daryl Turner 9 yard pass from Dave Krieg (Norm Johnson kick),0,10
2,2.0,Chiefs,Carlos Carson 10 yard pass from Todd Blackledge (Nick Lowery kick),7,10
3,2.0,Seahawks,Daryl Turner 17 yard pass from Dave Krieg (Norm Johnson kick),7,17
4,3.0,Seahawks,Mike Tice 2 yard pass from Dave Krieg (Norm Johnson kick),7,24
5,3.0,Seahawks,Norm Johnson 25 yard field goal,7,27
6,3.0,Seahawks,John Williams 1 yard rush (Norm Johnson kick),7,34
7,3.0,Seahawks,Norm Johnson 46 yard field goal,7,37
8,4.0,Seahawks,Norm Johnson 27 yard field goal,7,40
9,4.0,Seahawks,Norm Johnson 49 yard field goal,7,43
10,4.0,Chiefs,Carlos Carson 10 yard pass from Bill Kenney (Nick Lowery kick),14,43
