,Quarter,Tm,Detail,PIT,MIN
0,1.0,Steelers,Calvin Sweeney 21 yard pass from Terry Bradshaw,6,0
1,1.0,Vikings,Rick Danmeier 35 yard field goal,6,3
2,2.0,Steelers,Franco Harris 4 yard rush (Matt Bahr kick),13,3
3,2.0,Steelers,Matt Bahr 28 yard field goal,16,3
4,3.0,Steelers,Terry Bradshaw 2 yard rush (Matt Bahr kick),23,3
5,4.0,Vikings,Sammy White 21 yard pass from Tommy Kramer (Rick Danmeier kick),23,10
6,4.0,Vikings,Tommy Kramer 4 yard rush (Rick Danmeier kick),23,17
