,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Leroy Harris 4 yard rush (Garo Yepremian kick),0,7
1,2.0,Bills,Terry Miller 1 yard rush (Tom Dempsey kick),7,7
2,2.0,Dolphins,Andre Tillman 6 yard pass from Don Strock (Garo Yepremian kick),7,14
3,3.0,Dolphins,Garo Yepremian 49 yard field goal,7,17
4,3.0,Bills,Tom Dempsey 46 yard field goal,10,17
5,3.0,Dolphins,Gary Davis 65 yard rush (Garo Yepremian kick),10,24
6,4.0,Bills,Frank Lewis 92 yard pass from Joe Ferguson (Tom Dempsey kick),17,24
7,4.0,Dolphins,Delvin Williams 18 yard rush (Garo Yepremian kick),17,31
8,4.0,Bills,Roland Hooks 4 yard pass from Joe Ferguson (Tom Dempsey kick),24,31
