,Quarter,Tm,Detail,CRD,GNB
0,1.0,Cardinals,George Rogge unknown yard rush (Ernie Nevers kick),7,0
1,3.0,Packers,Johnny Blood 40 yard pass from Red Dunn,7,6
2,3.0,Packers,Verne Lewellen 9 yard rush (Red Dunn kick),7,13
3,4.0,Packers,Johnny Blood 14 yard pass from Red Dunn (Red Dunn kick),7,20
4,4.0,Packers,Johnny Blood 35 yard interception return,7,26
