,Quarter,Tm,Detail,AKR,CHI
0,1,Bears,Paddy Driscoll 24 yard field goal,0,3
1,2,Bears,Milt Romney unknown yard pass from Paddy Driscoll (Paddy Driscoll kick),0,10
2,3,Bears,Bill Senn 70 yard rush (Dutch Sternaman kick),0,17
