,Quarter,Tm,Detail,NYG,CHI
0,1.0,Giants,Tom Flynn blocked punt recovery in end zone (Raul Allegre kick),7,0
1,1.0,Bears,Kevin Butler 24 yard field goal,7,3
2,2.0,Bears,Mike Tomczak 1 yard rush (Kevin Butler kick),7,10
3,3.0,Bears,Ron Morris 42 yard pass from Mike Tomczak (Kevin Butler kick),7,17
4,3.0,Bears,Willie Gault 56 yard pass from Mike Tomczak (Kevin Butler kick),7,24
5,3.0,Giants,Terry Kinard 70 yard interception return,13,24
6,4.0,Bears,Dennis McKinnon 94 yard punt return (Kevin Butler kick),13,31
7,4.0,Giants,Stacy Robinson 5 yard pass from Phil Simms (pass failed),19,31
8,4.0,Bears,Kevin Butler 25 yard field goal,19,34
