,Quarter,Tm,Detail,BAL,BUF
0,1.0,Bills,John Kimbrough 73 yard punt return (Carson Long kick),0,7
1,1.0,Colts,Toni Linhart 22 yard field goal,3,7
2,1.0,Colts,Lydell Mitchell 5 yard rush (Toni Linhart kick),10,7
3,2.0,Colts,Lydell Mitchell 18 yard rush (Toni Linhart kick),17,7
4,2.0,Colts,Roosevelt Leaks 2 yard rush (Toni Linhart kick),24,7
5,2.0,Bills,Carson Long 26 yard field goal,24,10
6,3.0,Bills,Carson Long 45 yard field goal,24,13
7,3.0,Colts,Bert Jones 7 yard rush (Toni Linhart kick),31,13
