,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Sonny Randle 14 yard pass from John Roach (Bobby Joe Conrad kick),0,7
1,2.0,Cardinals,Gerry Perry 18 yard field goal,0,10
2,2.0,Cardinals,Gerry Perry 21 yard field goal,0,13
3,2.0,Cardinals,Sonny Randle 7 yard pass from John Roach (Bobby Joe Conrad kick),0,20
4,2.0,Cardinals,Gerry Perry 23 yard field goal,0,23
5,3.0,Redskins,Dick James 3 yard rush (Bob Khayat kick),7,23
6,3.0,Cardinals,John David Crow 4 yard rush (Bobby Joe Conrad kick),7,30
7,4.0,Cardinals,Sonny Randle 3 yard pass from John Roach (Bobby Joe Conrad kick),7,37
8,4.0,Cardinals,John David Crow 30 yard rush (Bobby Joe Conrad kick),7,44
