,Quarter,Tm,Detail,OAK,SDG
0,2.0,Chargers,Ray Wersching 42 yard field goal,0,3
1,2.0,Raiders,Cliff Branch 46 yard pass from Ken Stabler (George Blanda kick),7,3
2,3.0,Chargers,Don Woods 7 yard rush (Dennis Partee kick),7,10
3,4.0,Raiders,Bob Moore 4 yard pass from Ken Stabler (George Blanda kick),14,10
