,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Ernie Koy 22 yard rush (Les Murdock kick),7,0
1,1.0,Giants,Les Murdock 30 yard field goal,10,0
2,1.0,Redskins,John Love 27 yard field goal,10,3
3,2.0,Redskins,John Love 14 yard pass from Sonny Jurgensen (John Love kick),10,10
4,2.0,Redskins,Sonny Jurgensen 1 yard rush (John Love kick),10,17
5,2.0,Giants,Les Murdock 29 yard field goal,13,17
6,3.0,Redskins,Bobby Mitchell 3 yard rush (John Love kick),13,24
7,3.0,Giants,Homer Jones 35 yard pass from Fran Tarkenton (Les Murdock kick),20,24
8,4.0,Redskins,Jerry Smith 11 yard pass from Sonny Jurgensen (John Love kick),20,31
9,4.0,Giants,Homer Jones 68 yard pass from Ernie Koy (Les Murdock kick),27,31
10,4.0,Redskins,John Love offensive fumble recovery in end zone (John Love kick),27,38
11,4.0,Giants,Aaron Thomas 11 yard pass from Fran Tarkenton (Les Murdock kick),34,38
