,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Gerald Riggs 3 yard rush (Mick Luckhurst kick),0,7
1,2.0,Saints,Wayne Wilson 11 yard pass from Dave Wilson (Morten Andersen kick),7,7
2,2.0,Falcons,Mike Gann 42 yard defensive fumble return (Mick Luckhurst kick),7,14
3,2.0,Saints,Morten Andersen 33 yard field goal,10,14
4,3.0,Falcons,David Archer 18 yard rush (Mick Luckhurst kick),10,21
5,4.0,Falcons,Mick Luckhurst 31 yard field goal,10,24
6,4.0,Saints,Hoby Brenner 28 yard pass from Dave Wilson (Morten Andersen kick),17,24
7,4.0,Falcons,Cliff Austin 94 yard kickoff return (Mick Luckhurst kick),17,31
8,4.0,Saints,Frank Warren 50 yard defensive fumble return (Morten Andersen kick),24,31
