,Quarter,Tm,Detail,CIN,HOU
0,1.0,Oilers,Larry Moriarty 6 yard rush (Tony Zendejas kick),0,7
1,2.0,Oilers,Tony Zendejas 34 yard field goal,0,10
2,2.0,Bengals,Jim Breech 47 yard field goal,3,10
3,2.0,Oilers,Mike Rozier 3 yard rush (Tony Zendejas kick),3,17
4,2.0,Bengals,Eddie Brown 20 yard pass from Boomer Esiason (Steve Kreider run),10,17
5,2.0,Bengals,Jim Breech 22 yard field goal,13,17
6,3.0,Oilers,Stan Edwards 1 yard rush (Tony Zendejas kick),13,24
7,3.0,Oilers,Tony Zendejas 28 yard field goal,13,27
8,4.0,Oilers,Drew Hill 34 yard pass from Warren Moon (Tony Zendejas kick),13,34
9,4.0,Oilers,Tony Zendejas 32 yard field goal,13,37
10,4.0,Oilers,Mike McCloskey 24 yard pass from Warren Moon (Tony Zendejas kick),13,44
11,4.0,Bengals,James Brooks 23 yard pass from Boomer Esiason (Jim Breech kick),20,44
12,4.0,Bengals,Stanford Jennings 9 yard pass from Boomer Esiason (Jim Breech kick),27,44
