,Quarter,Tm,Detail,IND,BUF
0,1.0,Bills,Greg Bell 7 yard rush (Scott Norwood kick),0,7
1,1.0,Colts,Raul Allegre 41 yard field goal,3,7
2,2.0,Colts,Raul Allegre 27 yard field goal,6,7
3,2.0,Bills,Greg Bell 1 yard rush (Scott Norwood kick),6,14
4,3.0,Colts,Raul Allegre 38 yard field goal,9,14
5,4.0,Bills,Pete Metzelaars 3 yard pass from Vince Ferragamo (Scott Norwood kick),9,21
