,Quarter,Tm,Detail,DAL,GNB
0,2.0,Packers,Don Chandler 44 yard field goal,0,3
1,3.0,Cowboys,Danny Villanueva 20 yard field goal,3,3
2,3.0,Packers,Don Chandler 22 yard field goal,3,6
3,3.0,Packers,Jim Taylor 7 yard rush (Don Chandler kick),3,13
