,Quarter,Time,Tm,Detail,NYG,WAS
0,1,12:27,Giants,Sterling Shepard 23 yard pass from Daniel Jones (Aldrick Rosas kick),7,0
1,1,7:44,Redskins,Steven Sims 10 yard pass from Dwayne Haskins (Dustin Hopkins kick),7,7
2,1,6:58,Giants,Saquon Barkley 67 yard rush (Aldrick Rosas kick),14,7
3,2,15:00,Redskins,Hale Hentges 6 yard pass from Dwayne Haskins (Dustin Hopkins kick),14,14
4,2,9:23,Giants,Saquon Barkley 33 yard pass from Daniel Jones (Aldrick Rosas kick),21,14
5,2,0:44,Giants,Cody Latimer 10 yard pass from Daniel Jones (Aldrick Rosas kick),28,14
6,3,6:43,Redskins,Steven Sims 7 yard pass from Case Keenum (Dustin Hopkins kick),28,21
7,3,3:43,Giants,Kaden Smith 9 yard pass from Daniel Jones (Aldrick Rosas kick),35,21
8,4,14:34,Redskins,Adrian Peterson 1 yard rush (Dustin Hopkins kick),35,28
9,4,0:37,Redskins,Case Keenum 1 yard rush (Dustin Hopkins kick),35,35
10,OT,4:19,Giants,Kaden Smith 3 yard pass from Daniel Jones,41,35
