,Quarter,Time,Tm,Detail,SFO,GNB
0,1.0,,Packers,Desmond Howard 71 yard punt return (Chris Jacke kick),0,7
1,1.0,,Packers,Andre Rison 4 yard pass from Brett Favre (Chris Jacke kick),0,14
2,2.0,,Packers,Edgar Bennett 2 yard rush (Chris Jacke kick),0,21
3,2.0,,49ers,Terry Kirby 8 yard pass from Elvis Grbac (Jeff Wilkins kick),7,21
4,3.0,,49ers,Elvis Grbac 2 yard rush (Jeff Wilkins kick),14,21
5,3.0,,Packers,Antonio Freeman offensive fumble recovery in end zone (Chris Jacke kick),14,28
6,4.0,,Packers,Edgar Bennett 11 yard rush (Chris Jacke kick),14,35
