,Quarter,Time,Tm,Detail,ARI,SEA
0,2.0,13:42,Seahawks,Stephen Hauschka 27 yard field goal,0,3
1,2.0,2:15,Cardinals,Jay Feely 39 yard field goal,3,3
2,3.0,0:27,Cardinals,Jay Feely 46 yard field goal,6,3
3,4.0,10:39,Cardinals,Jay Feely 26 yard field goal,9,3
4,4.0,7:26,Seahawks,Zach Miller 11 yard pass from Russell Wilson (Stephen Hauschka kick),9,10
5,4.0,2:13,Cardinals,Michael Floyd 31 yard pass from Carson Palmer (Rashard Mendenhall run),17,10
