,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,6:49,Dolphins,Jason Sanders 47 yard field goal,3,0
1,2.0,2:00,Dolphins,Ryan Fitzpatrick 11 yard rush (Jason Sanders kick),10,0
2,3.0,7:54,Colts,Adam Vinatieri 25 yard field goal,10,3
3,3.0,0:43,Colts,Adam Vinatieri 39 yard field goal,10,6
4,4.0,11:34,Colts,Jack Doyle 1 yard pass from Brian Hoyer (Adam Vinatieri kick failed),10,12
5,4.0,5:50,Dolphins,Jason Sanders 48 yard field goal,13,12
6,4.0,3:36,Dolphins,Jason Sanders 48 yard field goal,16,12
