,Quarter,Tm,Detail,GNB,RAM
0,3,Rams,Jim Benton 18 yard pass from Parker Hall,0,6
1,4,Packers,Joe Laws 18 yard pass from Cecil Isbell (Tiny Engebretsen kick),7,6
