,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Buddy Dial 15 yard pass from Rudy Bukich (Lou Michaels kick),7,0
1,1.0,Giants,Joe Walton 9 yard pass from Y.A. Tittle (Pat Summerall kick),7,7
2,2.0,Giants,Bob Gaiters 3 yard rush (Pat Summerall kick),7,14
3,3.0,Giants,Alex Webster 23 yard pass from Y.A. Tittle (Pat Summerall kick),7,21
4,3.0,Giants,Kyle Rote 20 yard pass from Y.A. Tittle (Pat Summerall kick),7,28
5,4.0,Giants,Kyle Rote 9 yard pass from Bob Gaiters (Pat Summerall kick),7,35
6,4.0,Steelers,Preston Carpenter 13 yard pass from Dick Hoak (Lou Michaels kick),14,35
7,4.0,Steelers,Buddy Dial 3 yard pass from Bobby Layne (Lou Michaels kick),21,35
8,4.0,Giants,Alex Webster 32 yard rush (Pat Summerall kick),21,42
