,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,8:28,Broncos,Jason Elam 39 yard field goal,0,3
1,2.0,10:15,Chiefs,Tony Gonzalez 10 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,3
2,2.0,2:11,Broncos,Olandis Gary 3 yard rush (Jason Elam kick),7,10
3,2.0,0:36,Chiefs,Pete Stoyanovich 43 yard field goal,10,10
4,4.0,4:53,Chiefs,Tamarick Vanover 80 yard punt return,16,10
