,Quarter,Tm,Detail,KAN,NYJ
0,1.0,Jets,Jim Turner 27 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 23 yard field goal,3,3
2,3.0,Chiefs,Jan Stenerud 25 yard field goal,6,3
3,4.0,Jets,Jim Turner 7 yard field goal,6,6
4,4.0,Chiefs,Gloster Richardson 19 yard pass from Len Dawson (Jan Stenerud kick),13,6
