,Quarter,Time,Tm,Detail,DAL,CHI
0,1.0,,Cowboys,Richie Cunningham 23 yard field goal,3,0
1,2.0,,Cowboys,Richie Cunningham 23 yard field goal,6,0
2,3.0,,Bears,Chris Penn 13 yard pass from Erik Kramer (Jeff Jaeger kick),6,7
3,3.0,,Cowboys,David LaFleur 1 yard pass from Jason Garrett (pass failed),12,7
4,4.0,,Bears,Jeff Jaeger 22 yard field goal,12,10
5,4.0,0:15,Bears,Jeff Jaeger 29 yard field goal,12,13
