,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Bob Thomas 40 yard field goal,3,0
1,1.0,Bears,James Scott 49 yard pass from Bob Avellini (Bob Thomas kick),10,0
2,2.0,Packers,Chester Marcol 45 yard field goal,10,3
3,3.0,Packers,Ken Payne 11 yard pass from Carlos Brown (Chester Marcol kick),10,10
4,3.0,Bears,Bob Thomas 22 yard field goal,13,10
5,4.0,Bears,Bob Thomas 25 yard field goal,16,10
