,Quarter,Tm,Detail,CLE,BAL
0,2.0,Colts,Jim O'Brien 27 yard field goal,0,3
1,2.0,Browns,Leroy Kelly 3 yard rush (Don Cockroft kick),7,3
2,3.0,Colts,Jim O'Brien 32 yard field goal,7,6
3,4.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),14,6
4,4.0,Colts,Don Nottingham 20 yard blocked punt return (Jim O'Brien kick),14,13
