,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Pete Johnson 5 yard pass from Ken Anderson (Jim Breech kick),7,0
1,1.0,Bengals,Cris Collinsworth 39 yard pass from Ken Anderson (Jim Breech kick),14,0
2,2.0,Bengals,Cris Collinsworth 7 yard pass from Ken Anderson (Jim Breech kick),21,0
3,2.0,Browns,Ricky Feacher 30 yard pass from Brian Sipe (Matt Bahr kick),21,7
4,2.0,Bengals,M.L. Harris 2 yard pass from Ken Anderson (Jim Breech kick),28,7
5,4.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),28,14
6,4.0,Bengals,Pete Johnson 11 yard rush,34,14
7,4.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),41,14
8,4.0,Browns,Greg Pruitt 7 yard pass from Paul McDonald (Matt Bahr kick),41,21
