,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Lou Michaels 23 yard field goal,3,0
1,2.0,Steelers,Rudy Bukich 1 yard rush (Lou Michaels kick),10,0
2,2.0,Eagles,Pete Retzlaff 17 yard pass from Sonny Jurgensen (Bobby Walston kick),10,7
3,3.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),10,14
4,4.0,Steelers,Buddy Dial 13 yard pass from Rudy Bukich,16,14
5,4.0,Eagles,Pete Retzlaff 2 yard pass from Sonny Jurgensen (Bobby Walston kick),16,21
