,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,Ray Wersching 30 yard field goal,0,3
1,2.0,49ers,Jerry Rice 11 yard pass from Joe Montana (Ray Wersching kick),0,10
2,2.0,49ers,Jerry Rice 1 yard rush (Ray Wersching kick),0,17
3,3.0,Giants,Joe Morris 17 yard pass from Phil Simms (Raul Allegre kick),7,17
4,3.0,Giants,Stacy Robinson 34 yard pass from Phil Simms (Raul Allegre kick),14,17
5,3.0,Giants,Ottis Anderson 1 yard rush (Raul Allegre kick),21,17
