,Quarter,Time,Tm,Detail,BUF,CAR
0,1.0,,Bills,Eric Moulds 20 yard pass from Doug Flutie (Steve Christie kick),7,0
1,1.0,,Bills,Steve Christie 42 yard field goal,10,0
2,2.0,,Panthers,William Floyd 1 yard rush (John Kasay kick),10,7
3,2.0,,Bills,Eric Moulds 82 yard pass from Doug Flutie (Steve Christie kick),17,7
4,3.0,,Bills,Steve Christie 47 yard field goal,20,7
5,3.0,,Bills,Thurman Thomas 17 yard rush (Steve Christie kick),27,7
6,4.0,,Bills,Steve Christie 44 yard field goal,30,7
7,4.0,,Panthers,Mark Carrier 8 yard pass from Steve Beuerlein (John Kasay kick),30,14
