,Quarter,Time,Tm,Detail,PHI,NWE
0,1.0,13:38,Patriots,Asante Samuel 40 yard interception return (Stephen Gostkowski kick),0,7
1,1.0,6:38,Eagles,Brian Westbrook 1 yard rush (David Akers kick),7,7
2,1.0,1:35,Patriots,Heath Evans 1 yard rush (Stephen Gostkowski kick),7,14
3,2.0,12:50,Eagles,Greg Lewis 28 yard pass from A.J. Feeley (David Akers kick),14,14
4,2.0,6:42,Patriots,Stephen Gostkowski 23 yard field goal,14,17
5,2.0,3:01,Eagles,Greg Lewis 18 yard pass from A.J. Feeley (David Akers kick),21,17
6,2.0,0:08,Patriots,Jabar Gaffney 19 yard pass from Tom Brady (Stephen Gostkowski kick),21,24
7,3.0,1:34,Eagles,Reggie Brown 8 yard pass from A.J. Feeley (David Akers kick),28,24
8,4.0,7:20,Patriots,Laurence Maroney 4 yard rush (Stephen Gostkowski kick),28,31
