,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Tom Dempsey 27 yard field goal,0,3
1,1.0,Eagles,Tom Dempsey 22 yard field goal,0,6
2,1.0,Eagles,Harold Jackson 69 yard pass from Pete Liske (Tom Dempsey kick),0,13
3,3.0,Eagles,Tom Dempsey 54 yard field goal,0,16
4,3.0,Cardinals,Mel Gray 80 yard pass from Pete Beathard (Jim Bakken kick),7,16
5,4.0,Eagles,Tom Dempsey 24 yard field goal,7,19
