,Quarter,Time,Tm,Detail,SFO,BAL
0,1.0,12:00,49ers,Deebo Samuel 33 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,0
1,1.0,5:47,Ravens,Mark Andrews 20 yard pass from Lamar Jackson (Justin Tucker kick),7,7
2,2.0,12:02,Ravens,Lamar Jackson 1 yard rush (Justin Tucker kick),7,14
3,2.0,9:22,49ers,Raheem Mostert 40 yard rush (Robbie Gould kick),14,14
4,2.0,2:01,Ravens,Justin Tucker 30 yard field goal,14,17
5,3.0,3:41,49ers,Robbie Gould 32 yard field goal,17,17
6,4.0,0:03,Ravens,Justin Tucker 49 yard field goal,17,20
