,Quarter,Tm,Detail,SDG,HOU
0,1.0,Oilers,George Amundson 1 yard rush (Skip Butler kick),0,7
1,1.0,Oilers,George Amundson 8 yard pass from Lynn Dickey (Skip Butler kick),0,14
2,2.0,Chargers,Glen Bonner 3 yard rush (Dennis Partee kick),7,14
3,3.0,Chargers,Gary Garrison 29 yard pass from Dan Fouts (Dennis Partee kick),14,14
4,4.0,Oilers,George Amundson 3 yard rush (Skip Butler kick),14,21
