,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Gary Anderson 20 yard field goal,0,3
1,1.0,Steelers,Gary Anderson 28 yard field goal,0,6
2,2.0,Oilers,Ernest Givins 10 yard pass from Warren Moon (Al Del Greco kick),7,6
3,2.0,Steelers,Gary Anderson 33 yard field goal,7,9
4,2.0,Steelers,Dwight Stone 43 yard pass from Neil O'Donnell (Gary Anderson kick),7,16
5,3.0,Steelers,Warren Williams 1 yard rush (Gary Anderson kick),7,23
6,4.0,Oilers,Haywood Jeffires 15 yard pass from Warren Moon (Al Del Greco kick),14,23
7,4.0,Steelers,Gary Anderson 24 yard field goal,14,26
