,Quarter,Time,Tm,Detail,TEN,JAX
0,2.0,,Jaguars,Keenan McCardell 17 yard pass from Mark Brunell (Mike Hollis kick),0,7
1,2.0,,Oilers,Al Del Greco 35 yard field goal,3,7
2,3.0,,Jaguars,Natrone Means 1 yard rush (Mike Hollis kick),3,14
3,4.0,,Oilers,Frank Wycheck 22 yard pass from Willie Davis (run failed),9,14
4,4.0,,Jaguars,Mike Hollis 23 yard field goal,9,17
