,Quarter,Tm,Detail,BOS,DET
0,1.0,Yanks,Bob Davis 21 yard pass from Paul Governali (Nick Scollard kick),7,0
1,1.0,Lions,Bob Westfall 2 yard rush (Jack Helms kick),7,7
2,2.0,Yanks,Gary Famiglietti 1 yard rush (Nick Scollard kick),14,7
3,3.0,Lions,Jack Helms 25 yard field goal,14,10
4,3.0,Yanks,Don Currivan 24 yard pass from Paul Governali,20,10
5,4.0,Yanks,Hal Crisler 3 yard pass from Paul Governali (Nick Scollard kick),27,10
6,4.0,Yanks,Abe Karnofsky 35 yard rush (Nick Scollard kick),34,10
