,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Bills,Scott Norwood 32 yard field goal,3,0
1,2.0,Jets,Freeman McNeil 6 yard rush (Pat Leahy kick),3,7
2,2.0,Jets,Kurt Sohn 7 yard pass from Ken O'Brien (Pat Leahy kick),3,14
3,2.0,Jets,Freeman McNeil 13 yard rush (Pat Leahy kick),3,21
4,3.0,Jets,Tony Paige 2 yard pass from Ken O'Brien (Pat Leahy kick),3,28
5,3.0,Jets,Kerry Glenn 15 yard interception return (Pat Leahy kick),3,35
6,4.0,Jets,Tony Paige 2 yard rush (Pat Leahy kick),3,42
