,Quarter,Tm,Detail,MIA,STL
0,1.0,Dolphins,Nat Moore 4 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,1.0,Dolphins,Duriel Harris 7 yard pass from Bob Griese (Garo Yepremian kick),14,0
2,1.0,Cardinals,Terry Metcalf 1 yard rush (Jim Bakken kick),14,7
3,2.0,Dolphins,Nat Moore 9 yard pass from Bob Griese (Garo Yepremian kick),21,7
4,2.0,Dolphins,Nat Moore 28 yard pass from Bob Griese (Garo Yepremian kick),28,7
5,3.0,Dolphins,Gary Davis 17 yard pass from Bob Griese,34,7
6,3.0,Dolphins,Andre Tillman 37 yard pass from Bob Griese (Garo Yepremian kick),41,7
7,3.0,Dolphins,Leroy Harris 4 yard rush (Garo Yepremian kick),48,7
8,4.0,Cardinals,Ike Harris 19 yard pass from Jim Hart (Jim Bakken kick),48,14
9,4.0,Dolphins,Benny Malone 4 yard rush (Garo Yepremian kick),55,14
