,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Ed Brown 1 yard rush (John Aveni kick),0,7
1,1.0,Bears,John Aveni 29 yard field goal,0,10
2,1.0,Bears,Johnny Morris 45 yard pass from Ed Brown (John Aveni kick),0,17
3,2.0,Bears,John Aveni 22 yard field goal,0,20
4,2.0,Bears,Johnny Morris 66 yard pass from Ed Brown (John Aveni kick),0,27
5,2.0,Rams,Joe Marconi 8 yard rush,6,27
6,3.0,Rams,Jon Arnett 11 yard rush (Danny Villanueva kick),13,27
7,3.0,Bears,Angelo Coia 52 yard pass from Ed Brown (John Aveni kick),13,34
8,4.0,Rams,John LoVetere 6 yard blocked punt return (Danny Villanueva kick),20,34
9,4.0,Rams,Jon Arnett 24 yard pass from Billy Wade (Danny Villanueva kick),27,34
