,Quarter,Tm,Detail,FRN,NYG
0,1,Yellow Jackets,Les Haws 9 yard rush (Bull Behman kick),7,0
1,2,Yellow Jackets,Tex Hamer 6 yard rush (Bull Behman kick),14,0
