,Quarter,Tm,Detail,PHI,RAM
0,2,Eagles,Pete Pihos 31 yard pass from Tommy Thompson (Cliff Patton kick),7,0
1,3,Eagles,Leo Skladany 2 yard blocked punt return (Cliff Patton kick),14,0
