,Quarter,Time,Tm,Detail,WAS,STL
0,1.0,10:29,Redskins,Clinton Portis 47 yard rush (John Hall kick),7,0
1,2.0,7:05,Rams,Ryan Fitzpatrick 7 yard rush (Jeff Wilkins kick),7,7
2,2.0,3:11,Redskins,John Hall 38 yard field goal,10,7
3,4.0,13:46,Redskins,Clinton Portis 1 yard rush (John Hall kick),17,7
4,4.0,11:55,Rams,"Safety,",17,9
5,4.0,5:50,Redskins,Chris Cooley 4 yard pass from Mark Brunell (John Hall kick),24,9
