,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Clyde Goodnight 27 yard pass from Jack Jacobs (Ward Cuff kick),0,7
1,2.0,Lions,Roy Zimmerman 33 yard field goal,3,7
2,2.0,Packers,Ted Fritsch 1 yard rush (Ward Cuff kick),3,14
3,3.0,Packers,Ward Cuff 39 yard field goal,3,17
4,3.0,Packers,Ed Cody 32 yard rush (Ward Cuff kick),3,24
5,3.0,Lions,Ralph Heywood 5 yard pass from Bill Dudley (Roy Zimmerman kick),10,24
6,3.0,Packers,Ward Cuff 12 yard field goal,10,27
7,4.0,Lions,Pete Kmetovic 42 yard pass from Roy Zimmerman (Roy Zimmerman kick),17,27
8,4.0,Packers,Ed Cody 8 yard rush (Ward Cuff kick),17,34
