,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Pete Johnson 5 yard rush (Jim Breech kick),7,0
1,1.0,Bengals,Cris Collinsworth 14 yard pass from Ken Anderson (Jim Breech kick),14,0
2,1.0,Bengals,Jim Breech 44 yard field goal,17,0
3,1.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),24,0
4,2.0,Bengals,Pete Johnson 1 yard rush (Ross Browner pass from Steve Kreider),31,0
5,2.0,Bengals,Jim Breech 29 yard field goal,34,0
6,3.0,Bengals,Stanley Wilson 1 yard rush (Jim Breech kick),41,0
7,3.0,Bengals,Reggie Williams 59 yard defensive fumble return (Jim Breech kick),48,0
8,4.0,Oilers,Tim Smith 21 yard pass from Oliver Luck (Florian Kempf kick),48,7
9,4.0,Bengals,Larry Kinnebrew 3 yard rush (Jim Breech kick),55,7
10,4.0,Oilers,Curtis Brown 1 yard rush (Florian Kempf kick),55,14
