,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Cecil Isbell 1 yard rush (Don Hutson kick),0,7
1,1.0,Packers,Clarke Hinkle 31 yard field goal,0,10
2,1.0,Packers,Don Hutson 35 yard pass from Cecil Isbell (Clarke Hinkle kick),0,17
3,2.0,Cardinals,Marty Christiansen 1 yard rush,6,17
4,3.0,Packers,Cecil Isbell 39 yard rush (Tiny Engebretsen kick),6,24
5,3.0,Packers,Joe Laws 9 yard pass from Hal Van Every (Clarke Hinkle kick),6,31
