,Quarter,Time,Tm,Detail,STL,CHI
0,1.0,,Bears,Curtis Conway 4 yard pass from Steve Stenstrom (Jeff Jaeger kick),0,7
1,2.0,,Rams,Ricky Proehl 3 yard pass from Tony Banks (Jeff Wilkins kick),7,7
2,2.0,1:05,Rams,Tony Banks 7 yard rush (Jeff Wilkins kick),14,7
3,3.0,1:05,Rams,Jeff Wilkins 24 yard field goal,17,7
4,3.0,1:05,Bears,Jeff Jaeger 31 yard field goal,17,10
5,4.0,1:05,Rams,Jeff Wilkins 33 yard field goal,20,10
6,4.0,1:05,Bears,"Safety, McBurrows called for holding in end zone",20,12
