,Quarter,Tm,Detail,DET,STL
0,1.0,Lions,Mel Farr 1 yard rush (Garo Yepremian kick),7,0
1,1.0,Lions,Larry Hand 2 yard interception return (Garo Yepremian kick),14,0
2,2.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),14,7
3,2.0,Cardinals,Jim Bakken 39 yard field goal,14,10
4,2.0,Lions,Pat Studstill 37 yard pass from Milt Plum (Garo Yepremian kick),21,10
5,2.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),21,17
6,3.0,Cardinals,Jackie Smith 57 yard pass from Jim Hart (Jim Bakken kick),21,24
7,3.0,Cardinals,Johnny Roland 6 yard rush (Jim Bakken kick),21,31
8,4.0,Lions,Pat Studstill 23 yard pass from Milt Plum (Garo Yepremian kick),28,31
9,4.0,Cardinals,Billy Gambrell 48 yard pass from Jim Hart (Jim Bakken kick),28,38
