,Quarter,Time,Tm,Detail,CLE,ARI
0,1.0,10:15,Cardinals,Kenyan Drake 5 yard rush (Zane Gonzalez kick),0,7
1,2.0,12:06,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),0,14
2,2.0,7:58,Browns,Nick Chubb 33 yard rush (Austin Seibert kick),7,14
3,2.0,4:39,Browns,Austin Seibert 44 yard field goal,10,14
4,2.0,0:31,Cardinals,Dan Arnold 6 yard pass from Kyler Murray (Zane Gonzalez kick),10,21
5,3.0,8:59,Browns,Ricky Seals-Jones 2 yard pass from Baker Mayfield (Austin Seibert kick),17,21
6,3.0,1:45,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),17,28
7,4.0,7:31,Cardinals,Kenyan Drake 17 yard rush (Zane Gonzalez kick),17,35
8,4.0,5:21,Cardinals,Zane Gonzalez 21 yard field goal,17,38
9,4.0,1:24,Browns,Ricky Seals-Jones 1 yard pass from Baker Mayfield (Austin Seibert kick),24,38
