,Quarter,Time,Tm,Detail,SDG,CLE
0,1.0,10:49,Chargers,Antonio Gates 1 yard pass from Philip Rivers (Josh Lambo kick),7,0
1,1.0,5:12,Browns,Isaiah Crowell 8 yard rush (Cody Parkey kick),7,7
2,1.0,1:49,Chargers,Josh Lambo 43 yard field goal,10,7
3,2.0,12:39,Browns,Isaiah Crowell 4 yard rush (Cody Parkey kick),10,14
4,2.0,4:46,Browns,Cody Parkey 49 yard field goal,10,17
5,3.0,10:58,Browns,Cody Parkey 27 yard field goal,10,20
6,3.0,6:04,Chargers,Tyrell Williams 1 yard pass from Philip Rivers (Josh Lambo kick),17,20
