,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Bob Hoernschemeyer 1 yard rush (Doak Walker kick),0,7
1,2.0,Lions,Dave Middleton 2 yard rush (Doak Walker kick),0,14
2,2.0,49ers,Joe Arenas 53 yard pass from Y.A. Tittle,6,14
3,2.0,Lions,Doak Walker 17 yard field goal,6,17
4,3.0,Lions,Dave Middleton 11 yard rush (Doak Walker kick),6,24
5,4.0,49ers,Dicky Moegle 10 yard rush (Gordie Soltau kick),13,24
6,4.0,49ers,Rex Berry 44 yard interception return (Gordie Soltau kick),20,24
7,4.0,49ers,Joe Perry 5 yard rush (Gordie Soltau kick),27,24
