,Quarter,Tm,Detail,MIN,KAN
0,1.0,Chiefs,Jan Stenerud 48 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 32 yard field goal,0,6
2,2.0,Chiefs,Jan Stenerud 25 yard field goal,0,9
3,2.0,Chiefs,Mike Garrett 5 yard rush (Jan Stenerud kick),0,16
4,3.0,Vikings,Dave Osborn 4 yard rush (Fred Cox kick),7,16
5,3.0,Chiefs,Otis Taylor 46 yard pass from Len Dawson (Jan Stenerud kick),7,23
