,Quarter,Tm,Detail,PIT,IND
0,2.0,Colts,Dean Biasucci 19 yard field goal,0,3
1,3.0,Steelers,Eric Green 21 yard pass from Bubby Brister (Gary Anderson kick),7,3
2,4.0,Steelers,Barry Foster 24 yard pass from Bubby Brister (Gary Anderson kick),14,3
3,4.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),21,3
